,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,pred1,pred2,pred3,pred4,pred5,pred6,pred7,values,cost,final_coin,treatment,if_same,tmp_label
0,14,30,92,99,135,20,10,4,0,0,30,471,15.7,3,7147.866,7,-3025.28,-1118.98,-2639.33,-524.5880000000002,-1059.23,-977.796,-99.7448,0.0,0.1,0.1,2.0,False,0.0
1,14,30,40,41,61,36,34,23,0,0,28,39,1.392857143,0,203.00099999999998,7,-1550.34,-177.389,-388.136,-599.138,-12.3781,-962.079,846.0110000000002,0.0,0.1,0.1,2.0,False,0.0
2,14,30,19,18,30,105,60,11,340,12,30,117,3.9,14,5037.923,6,-987.381,-2223.35,-1082.71,1775.68,384.49,-430.09,130.616,1775.68,1.1,1.1,1.7,False,0.0
3,14,30,12,13,14,2,0,7,0,0,30,74,2.4666666669999997,0,1658.293,4,-1191.9,-808.82,-775.806,-455.234,-95.4911,-232.918,-14.7948,0.0,0.1,0.1,1.1,False,0.0
4,5,9,0,1,1,48,33,10,9,10,1,2,2.0,0,4239.558,4,438.081,540.781,-50.2043,2029.08,1247.96,392.077,567.759,2029.08,1.1,1.1,1.1,True,1.1
5,9,16,0,0,1,2,1,14,0,0,6,6,1.0,0,0.0,5,188.123,128.738,23.8951,553.58,676.828,528.185,429.423,0.0,0.1,0.1,1.4,False,0.0
6,14,30,25,20,19,874,739,8,23,0,30,92,3.066666667,1,1782.707,7,-909.812,-392.001,-490.86800000000005,1289.6,-125.936,-493.969,542.65,1289.6,1.1,1.1,2.0,False,0.0
7,12,21,0,0,0,0,0,4,0,0,0,0,0.0,0,28.5,4,285.645,245.838,424.015,466.34,960.741,604.9069999999998,187.23,285.645,0.4,0.4,1.1,False,0.0
8,14,30,68,63,72,2,0,3,0,0,30,361,12.03333333,27,8375.768,3,-3239.85,-2831.52,-2943.12,-821.628,-777.068,-1038.24,-1360.86,0.0,0.1,0.1,0.8,False,0.0
9,14,30,192,164,172,19,5,8,0,0,1,1,1.0,0,3454.755,3,-1762.9,-95.8078,-813.2639999999999,246.653,-989.472,-1096.28,900.185,0.0,0.1,0.1,0.8,False,0.0
10,5,9,0,0,1,10,5,7,7,4,1,1,1.0,0,0.0,2,725.915,69.277,50.7491,1773.28,1106.83,513.557,421.841,1773.28,1.1,1.1,0.6,False,0.0
