exp_group,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7
7,-3025.28,-1118.98,-2639.33,-524.5880000000001,-1059.23,-977.796,-99.7448
7,-1550.34,-177.389,-388.13599999999997,-599.138,-12.3781,-962.079,846.0110000000001
6,-987.3810000000001,-2223.35,-1082.71,1775.68,384.49,-430.09,130.616
4,-1191.9,-808.82,-775.806,-455.23400000000004,-95.4911,-232.918,-14.7948
4,438.08099999999996,540.781,-50.2043,2029.08,1247.96,392.077,567.759
5,188.123,128.738,23.8951,553.58,676.828,528.185,429.423
7,-909.812,-392.001,-490.86800000000005,1289.6,-125.936,-493.969,542.65
4,285.645,245.838,424.015,466.34,960.7410000000001,604.9069999999999,187.23
3,-3239.85,-2831.52,-2943.12,-821.628,-777.068,-1038.24,-1360.86
3,-1762.9,-95.8078,-813.2639999999999,246.653,-989.472,-1096.28,900.185
2,725.915,69.277,50.7491,1773.28,1106.83,513.557,421.841
2,-644.742,-268.58099999999996,-398.074,-17.39,203.91,255.815,199.19799999999998
1,410.212,185.795,338.131,712.7710000000001,867.809,543.6,77.8078
7,-921.6519999999999,785.96,-39.6319,214.705,1158.68,-542.844,1193.41
0,-83.8464,-61.0732,-26.7951,297.35900000000004,793.938,361.349,467.50699999999995
1,-1956.77,-633.073,-1050.37,-1236.03,-747.565,-1222.58,87.0874
2,-335.77,815.4639999999999,767.434,680.557,1231.31,486.837,1185.24
3,355.961,58.1016,63.7852,577.408,715.334,274.83299999999997,237.69
3,-647.031,91.2925,-74.6461,-351.726,785.645,143.166,608.837
4,464.816,507.384,571.312,677.5889999999999,988.8939999999999,459.099,107.324
0,-2261.98,-476.05199999999996,-1068.58,-278.70799999999997,-1516.29,-1147.85,752.6060000000001
3,-910.9639999999999,94.3363,-385.44300000000004,-550.774,437.12300000000005,-324.368,311.297
4,-1443.65,449.06300000000005,-519.939,1090.22,-52.9274,-1021.41,487.776
1,335.426,496.10900000000004,444.621,258.23,1268.07,207.252,679.6260000000001
5,-477.478,765.445,566.242,450.05199999999996,1033.46,134.829,1324.89
5,-712.926,170.142,-352.341,144.466,363.981,-112.05,321.272
7,360.85,208.243,242.521,752.944,1040.73,520.649,134.73
0,318.175,140.418,315.41200000000003,643.344,842.2439999999999,427.334,289.847
5,-1008.83,-379.36800000000005,-521.339,-259.98400000000004,-61.2339,-43.0902,-121.62299999999999
7,421.04400000000004,62.6759,566.835,663.128,981.433,502.619,456.056
3,-76.3686,464.00800000000004,48.8837,2962.67,1849.76,-166.34599999999998,1105.45
1,-1622.19,-2198.73,-1274.8,-387.709,-450.731,-219.72099999999998,-21.8594
4,-1254.27,-129.951,-390.421,-773.31,107.65100000000001,-285.775,55.373999999999995
4,-1141.15,-61.8499,-528.783,-203.199,96.0585,-574.415,478.173
7,-1398.8,-100.76100000000001,-564.254,-832.319,-72.3024,-591.803,581.434
6,-1269.02,-549.696,-829.6030000000001,3027.28,-1183.96,-833.653,896.925
6,-762.4830000000001,-1418.8,-1386.7,-607.56,42.8633,225.891,-9.45916
3,-2379.31,-1744.59,-2586.75,-723.6610000000001,119.429,-430.35900000000004,-519.7909999999999
6,322.034,88.5929,-63.5091,492.566,730.711,124.618,185.393
6,-1667.18,218.81400000000002,-764.548,-776.29,-115.786,-715.54,269.688
5,309.91200000000003,101.51100000000001,239.14,654.654,779.0939999999999,424.384,272.204
3,-971.579,-370.17900000000003,-684.742,-723.175,-111.81700000000001,-4.5374,208.39700000000002
0,-591.585,222.253,-236.86599999999999,-156.368,573.211,-200.67,362.27099999999996
6,-1325.0,305.716,-502.861,-650.6759999999999,265.66900000000004,-565.651,573.401
7,-692.403,-62.5718,-124.20100000000001,96.5503,657.58,224.924,415.895
1,-629.25,-303.006,-582.5419999999999,113.051,502.597,-10.4202,137.247
4,-297.433,-50.2132,-11.8358,-246.05,939.809,-201.426,571.5980000000001
1,-1716.5,-1178.34,-2331.11,-231.959,-232.53099999999998,-988.3689999999999,-55.0381
0,-1935.81,98.691,-567.83,-54.1561,-909.1419999999999,-764.278,1185.51
2,376.273,186.893,394.32800000000003,626.082,923.77,601.005,364.139
4,-851.314,507.57599999999996,-197.524,421.63699999999994,1262.04,-650.656,958.4830000000001
5,-1143.85,735.81,-103.63,-283.564,289.72,-595.2719999999999,1209.92
7,516.005,165.05700000000002,268.926,618.99,967.341,358.88300000000004,65.1483
6,-1572.99,-474.30699999999996,-967.443,-644.977,-250.65400000000002,-1253.4,779.288
4,472.855,-61.4077,-77.8149,484.69199999999995,750.408,289.522,-127.624
4,-438.38,-791.2180000000001,-995.1289999999999,-273.199,203.025,417.726,412.64
3,-816.4789999999999,-136.076,-291.251,-147.701,664.998,99.9238,403.67800000000005
3,-1797.87,552.5930000000001,-460.195,-8.01401,100.527,-988.1039999999999,879.329
4,-753.971,-464.481,-651.3340000000001,69.2766,210.649,459.87300000000005,115.34700000000001
7,-243.231,138.843,-244.995,1635.23,1183.53,-234.34599999999998,1486.13
6,-937.553,32.1569,-562.1709999999999,3320.16,-122.494,-979.789,1318.87
4,46.9265,-191.484,91.0957,1136.64,2049.06,-104.72,302.82099999999997
3,45.7163,-94.2464,-348.173,217.35299999999998,628.8340000000001,229.919,339.36800000000005
4,-661.493,90.1551,-448.594,-373.68300000000005,356.07199999999995,-638.8430000000001,325.052
4,-1574.61,58.2955,-702.03,-702.732,799.643,-1212.45,551.207
3,-839.335,-1327.72,-1247.95,-161.401,213.96200000000002,-119.829,-320.903
2,-758.2189999999999,-219.44400000000002,-594.774,-449.94699999999995,162.269,-63.0934,-87.6409
