exp_group,predict_1,predict_2,predict_3
3,81.2292,158.22799999999998,233.273
3,36.8851,55.4905,78.8477
3,33.6612,40.4767,52.9914
3,152.08,96.072,67.0058
3,621.082,1238.54,1861.2
3,41.7173,63.803000000000004,89.7621
3,70.3328,44.1005,41.3354
3,35.028,47.2895,62.9919
3,42.9079,39.2814,43.4693
3,124.507,244.166,366.43199999999996
3,39.5365,62.7564,89.2932
3,93.9117,182.643,273.972
3,185.238,102.23899999999999,82.0859
3,243.843,111.03399999999999,96.3931
3,70.8754,135.782,201.86
3,33.5061,38.5984,48.6962
3,278.796,129.128,118.193
3,69.145,70.6836,92.3151
3,51.6541,93.73,136.7
3,49.7749,89.0196,132.217
3,175.063,346.019,519.214
3,96.4257,188.83,280.873
3,330.7,203.782,381.344
3,174.55900000000003,98.6134,68.5431
3,106.961,75.4386,79.7968
3,103.615,203.688,302.634
3,96.3183,61.6345,48.5095
3,37.3389,38.5353,49.4029
3,219.43099999999998,437.788,656.423
3,328.18699999999995,655.215,981.8510000000001
3,46.983999999999995,83.7314,121.573
3,230.063,459.977,689.8489999999999
3,112.45299999999999,223.878,337.152
3,433.228,762.7260000000001,443.788
3,280.744,558.268,840.676
3,46.3157,81.8367,122.12
3,237.49200000000002,131.616,106.905
3,71.2795,134.621,199.047
3,90.0301,174.016,260.182
3,244.718,491.496,735.4680000000001
3,247.541,493.163,739.9780000000001
3,78.3152,46.0864,39.2038
3,48.7298,44.3272,49.3873
3,280.14599999999996,556.871,835.3910000000001
3,198.044,395.88599999999997,593.172
3,42.6216,37.1355,39.5275
3,47.6749,36.1203,36.4695
3,3570.46,7144.89,10717.8
3,40.5437,70.0425,101.04700000000001
3,1851.22,3706.11,5558.08
3,69.6641,42.1784,41.5075
3,79.5197,153.614,231.729
3,271.82099999999997,543.818,817.433
3,47.5227,83.1818,121.87799999999999
3,530.2180000000001,1051.05,1575.16
3,98.0157,191.41299999999998,285.495
3,61.511,42.8537,43.0598
3,41.0544,70.3537,101.43700000000001
3,178.822,357.29400000000004,534.898
3,35.6974,52.9899,74.6155
3,42.4054,73.4612,106.96
3,334.98900000000003,147.076,111.49799999999999
3,249.00400000000002,128.89700000000002,95.2395
3,35.9171,52.5037,72.8167
3,40.7403,66.0233,94.0387
3,311.492,620.409,931.215
3,38.3742,58.5926,81.5031
3,37.1646,54.9418,77.2954
3,55.1707,103.14200000000001,152.92700000000002
3,45.0697,83.2515,123.59200000000001
3,84.1348,162.282,240.394
3,370.785,204.985,159.322
3,409.848,817.6160000000001,1223.44
3,796.4630000000001,1587.45,2381.14
3,125.22399999999999,76.184,69.7758
3,-2998.76,-428.911,-295.693
3,45.163999999999994,34.2034,36.549
3,179.06599999999997,124.85,95.7739
3,61.6553,117.648,174.886
3,143.828,284.491,426.42
3,316.373,629.637,945.092
3,65.1387,123.791,181.683
3,103.21,201.78,301.579
3,69.164,39.3546,36.2803
3,59.7927,39.9288,41.6673
3,204.64700000000002,410.961,614.794
3,62.7362,115.34100000000001,170.497
3,77.9684,150.922,223.86599999999999
3,58.9226,38.8754,41.9325
3,36.7003,44.0072,54.9538
3,36.688,44.5299,58.7057
3,752.2639999999999,1498.29,2248.51
3,35.4291,44.1745,57.7236
3,76.0969,113.29899999999999,155.007
3,314.33,625.823,939.829
3,179.14,357.418,535.816
3,317.15,634.479,951.56
3,143.922,284.673,425.26
3,135.995,63.8415,47.181000000000004
3,81.4828,46.6156,40.7452
3,60.2944,37.1177,35.321
3,35.4207,49.9834,68.6893
3,92.8243,180.262,270.774
3,45.8619,42.6276,52.2252
3,59.6956,110.786,163.546
3,216.377,107.977,78.835
3,74.6552,142.27200000000002,210.574
3,54.851000000000006,99.0254,143.136
3,34.3936,43.933,58.4207
3,188.86700000000002,124.59700000000001,139.148
3,194.549,108.455,77.1833
3,82.6618,156.982,232.97299999999998
3,42.4827,38.0519,42.238
3,113.47200000000001,220.774,331.855
3,90.3846,93.5357,96.5682
3,78.8342,150.859,223.72299999999998
3,228.62400000000002,198.058,162.731
3,57.3875,105.85,155.264
3,61.8942,103.541,151.47
3,301.08099999999996,596.423,897.0930000000001
3,141.19799999999998,278.645,417.64599999999996
3,40.7875,61.5354,88.5916
3,41.9698,37.5766,40.9748
3,301.495,604.1659999999999,905.284
3,396.35400000000004,792.3660000000001,1186.58
3,62.6169,115.991,172.8
3,294.78700000000003,586.2040000000001,878.3889999999999
3,39.0607,61.3702,88.7036
3,36.094,49.8472,68.3315
3,60.541000000000004,111.26299999999999,163.785
3,940.1039999999999,1885.9,2831.2
3,324.073,647.0980000000001,969.6010000000001
3,557.21,1112.73,1673.99
3,744.9989999999999,1488.49,2229.61
3,338.79900000000004,196.483,164.924
3,408.345,273.876,292.24
3,-255.274,-91.9222,-68.8847
3,57.5669,39.4989,42.5632
3,159.914,93.3051,89.4084
3,380.05400000000003,245.268,150.13
3,61.7437,115.65,169.81599999999997
3,79.3077,155.035,231.768
3,44.2838,39.6354,42.9329
3,222.22099999999998,443.839,664.9680000000001
3,67.5582,131.52100000000002,195.917
3,337.913,671.88,1007.88
3,39.728,63.222,88.1019
3,147.799,81.4044,60.1436
3,816.058,1630.88,2448.45
3,546.812,1087.78,1635.0
3,441.96,882.385,1323.94
3,122.27600000000001,239.889,359.686
3,93.3519,52.3058,42.7841
3,67.3313,127.863,192.46599999999998
3,78.6905,47.9326,39.3481
3,79.431,154.694,230.864
3,52.6272,94.7796,138.13
3,38.7935,46.2262,62.9934
3,65.0219,115.42,166.485
3,63.0237,116.573,175.37400000000002
3,301.231,604.817,909.2760000000001
3,91.9233,180.335,269.923
3,90.8007,172.017,253.392
3,82.2006,158.179,236.52200000000002
3,37.1123,47.7684,64.3623
3,144.418,288.372,430.824
3,1191.87,2387.0,3576.32
3,2303.83,-317.633,-166.15099999999998
3,650.919,1295.6,1950.18
3,75.7021,144.424,214.65400000000002
3,5901.31,-579.994,-226.736
3,107.771,66.3665,56.3246
3,200.389,128.989,116.90100000000001
3,1333.14,2667.71,3998.04
3,200.78599999999997,155.097,146.668
3,46.2062,79.2916,115.17
3,109.914,214.83,319.08
3,-385.542,-140.662,-116.163
3,43.2389,75.8276,109.147
3,249.90099999999998,495.608,742.7539999999999
3,60.0334,111.694,164.868
3,76.6689,56.3531,55.2279
3,128.227,252.78799999999998,380.159
3,38.469,37.1573,41.7076
3,50.3007,93.1268,139.358
3,69.1309,130.828,194.313
3,239.55,134.219,98.2039
3,158.793,81.7292,81.4999
3,60.8491,113.084,167.118
3,151.135,299.473,448.256
3,39.9962,58.6664,79.3977
3,67.5405,131.577,194.722
3,38.0263,58.9407,84.2257
3,83.2528,161.28799999999998,241.115
3,43.1033,74.383,106.04899999999999
3,435.14599999999996,268.459,264.393
3,36.3745,51.9325,71.0014
3,53.6861,95.6861,141.864
3,136.10299999999998,266.45,400.98900000000003
3,40.5682,66.9481,97.709
3,40.5499,64.7893,92.8461
3,126.09700000000001,70.4553,51.7134
3,93.07,53.6954,41.5799
3,40.1605,40.9568,45.3355
3,61.5068,48.2447,47.9223
3,45.1837,77.442,115.045
3,36.1812,36.0962,42.1653
3,45.4623,82.3319,121.652
3,93.4596,46.3356,45.4672
3,218.38299999999998,434.048,651.114
3,212.64,85.1546,70.9635
3,239.865,265.528,29579.2
3,84.2697,160.489,242.144
3,205.00799999999998,407.42800000000005,609.87
3,39.8922,36.5701,40.5888
3,77.7141,150.504,223.31099999999998
3,50.3806,89.5582,131.765
3,307.5,612.367,918.602
3,141.596,276.17400000000004,415.921
3,32.7052,34.997,44.6624
3,102.318,200.614,300.019
3,48.5862,39.615,40.6638
3,367.58,235.202,142.047
3,34.5012,36.7413,45.743
3,82.1225,160.088,238.105
3,198.739,127.516,108.63
3,37.9243,64.7955,93.9699
3,404.42,812.3660000000001,1216.56
3,35.035,45.7521,63.32899999999999
3,37.3798,63.3747,92.6735
3,312.88,623.697,935.409
3,38.1628,60.5744,90.1234
3,66.9866,71.3829,80.5361
3,56.6506,101.635,149.795
3,35.2571,34.0738,40.4926
3,218.456,433.852,652.7869999999999
3,311.663,177.801,153.52
3,145.48,283.7,426.767
3,48.7806,87.5792,127.77600000000001
3,108.405,213.697,318.98400000000004
3,60.5816,113.727,166.387
3,162.738,321.634,481.28
3,134.46,67.0335,60.3094
3,283.20599999999996,563.6469999999999,847.2289999999999
3,33.7886,48.3195,65.786
3,376.25800000000004,753.7660000000001,1131.52
3,268.60900000000004,537.174,804.3430000000001
3,34.4607,36.3575,47.2931
3,131.35399999999998,60.9436,44.6194
3,41.5714,57.2473,77.4432
3,38.2967,58.5302,81.1045
3,407.23800000000006,811.0889999999999,1213.76
3,462.30199999999996,918.408,1387.19
3,37.8533,42.411,52.0702
3,39.1842,57.1742,89.0481
3,51.3813,55.0334,73.2277
3,212.778,424.342,637.946
3,50.0585,89.5187,130.681
3,424.416,846.2180000000001,1266.8
3,53.0832,96.3604,140.6
3,35.4358,51.1275,70.8643
3,321.77,180.293,147.84799999999998
3,119.70100000000001,64.3665,58.5224
3,69.9414,132.889,195.862
3,43.2476,47.739,56.7261
3,300.034,165.41099999999997,161.893
3,159.278,315.019,473.74300000000005
3,68.6939,133.01,196.45
3,55.92100000000001,68.768,89.3253
3,96.6667,184.68400000000003,276.53700000000003
3,76.7948,147.35399999999998,218.865
3,33.7464,37.8512,46.6032
3,39.6822,63.2656,91.7449
3,37.1209,54.0671,73.72800000000001
3,-1063.89,-215.89,-223.7
3,53.7685,95.8368,140.374
3,38.912,55.5642,74.4783
3,41.4099,67.6718,97.9995
3,37.38,47.2525,61.9558
3,92.9727,182.03599999999997,271.652
3,91.3564,178.62900000000002,266.89099999999996
3,43.8457,50.2268,66.2122
3,309.812,616.7819999999999,926.221
3,39.6495,44.5464,57.2796
3,547.617,1092.07,1633.93
3,78.9004,153.14600000000002,227.929
3,1388.82,2777.57,4168.6
3,33.9827,41.0151,53.9358
3,45.2919,54.4799,67.7584
3,112.221,220.763,333.38599999999997
3,49.1136,88.5592,129.14700000000002
3,127.678,76.1483,57.8086
3,-520.632,-140.35,-112.406
3,97.9972,191.793,289.407
3,1019.99,2031.27,3046.53
3,368.00699999999995,371.29699999999997,177.532
3,81.2557,50.6137,51.6117
3,43.9463,40.1769,45.1136
3,126.227,65.6679,54.2304
3,76.1052,146.213,217.331
3,39.8561,52.1454,64.5966
3,42.7341,70.8432,101.588
3,217.77,435.75,654.018
3,227.912,453.462,681.404
3,59.1465,110.03399999999999,163.628
3,290.105,579.1619999999999,870.409
3,39.4558,51.2679,66.8513
3,435.671,867.47,1300.05
3,104.47200000000001,204.74400000000003,305.435
3,60.6706,114.73700000000001,169.178
3,491.99699999999996,989.581,1481.16
3,112.56200000000001,59.9197,51.9937
3,115.61399999999999,229.514,345.528
3,104.089,206.024,306.994
3,101.889,200.144,299.893
3,85.5425,165.395,245.593
3,38.8364,56.2906,80.0361
3,1260.14,339.369,272.334
3,58.9898,42.2001,43.0161
3,810.6089999999999,1618.35,2425.13
3,183.55599999999998,365.285,546.9490000000001
3,38.4561,40.7134,50.4491
3,43.1083,34.7439,38.1016
3,103.559,201.78,303.315
3,44.9942,41.0818,46.0064
3,42.8051,77.4482,112.682
3,116.13799999999999,230.972,345.12
3,557.985,1111.19,1668.06
3,86.9556,54.2313,45.0677
3,148.53,294.517,443.091
3,45.2637,83.6399,119.90700000000001
3,43.9664,40.9099,48.0701
3,63.2589,122.82600000000001,178.364
3,263.103,159.045,101.12
3,197.019,112.4,109.995
3,55.8165,100.555,147.939
3,397.605,795.166,1192.37
3,38.1321,58.5184,83.3084
3,225.40599999999998,97.4565,68.1815
3,3582.27,7168.45,10753.2
3,203.87599999999998,108.29299999999999,77.9471
3,-141.424,-68.3284,-57.3845
3,188.977,127.809,85.29700000000001
3,93.126,182.451,271.961
3,41.9996,35.0738,37.0702
3,34.711,51.0584,71.3731
3,43.2715,58.2348,70.7445
3,41.4703,71.2263,104.42299999999999
3,208.331,102.48700000000001,70.6588
3,34.6413,39.9225,55.2208
3,39.6322,42.9702,50.0472
3,-285.20799999999997,-122.822,-93.0203
3,67.9662,44.19,44.2784
3,262.79,525.855,784.758
3,580.0,259.76099999999997,197.03799999999998
3,41.6188,71.0117,101.852
3,56.262,102.866,151.931
3,83.8863,165.024,248.565
3,35.6905,48.2827,67.4129
3,38.8187,59.9076,84.3889
3,57.1489,41.1794,43.2082
3,143.94,285.481,424.14599999999996
3,34.5382,36.4433,43.2792
3,39.7032,65.4934,95.1446
3,48.6506,86.5594,131.937
