,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,pred1,pred2,pred3,pred4,pred5,pred6,pred7,values,cost,final_coin,treatment,if_same,tmp_label
0,14,30,92,99,135,20,10,4,0,0,30,471,15.7,3,7147.866,7,1788.1189350000002,729.3458261,-74.49924642,-421.9358313999999,-383.62881489999995,-70.52760062,-893.9239651,1788.1189350000002,0.4,0.4,2.0,False,0.0
1,14,30,40,41,61,36,34,23,0,0,28,39,1.392857143,0,203.00099999999998,7,124.88985259999998,-295.3529355,323.3044797,932.4725868999999,599.4670046,299.7999742,-207.53226730000003,0.0,0.1,0.1,2.0,False,0.0
2,14,30,19,18,30,105,60,11,340,12,30,117,3.9,14,5037.923,6,124.88985259999998,190.4266132,323.3044797,-6.050387741000001,176.7262311,1074.45138,877.2049143999999,0.0,0.1,0.1,1.7,False,0.0
3,14,30,12,13,14,2,0,7,0,0,30,74,2.4666666669999997,0,1658.293,4,124.88985259999998,-249.3268403,330.0070945,-6.050387741000001,176.7262311,299.7999742,-204.32929860000002,0.0,0.1,0.1,1.1,False,0.0
4,5,9,0,1,1,48,33,10,9,10,1,2,2.0,0,4239.558,4,-874.6775238,170.0850332,1422.4352199999998,932.4725868999999,599.4670046,-546.1908036,1439.555863,0.0,0.1,0.1,1.1,False,0.0
5,9,16,0,0,1,2,1,14,0,0,6,6,1.0,0,0.0,5,124.88985259999998,-356.6506163,-74.49924642,-421.9358313999999,-383.62881489999995,-70.52760062,604.8433211,0.0,0.1,0.1,1.4,False,0.0
6,14,30,25,20,19,874,739,8,23,0,30,92,3.066666667,1,1782.707,7,124.88985259999998,127.54149240000001,323.3044797,-6.050387741000001,176.7262311,977.759175,517.2332925,0.0,0.1,0.1,2.0,False,0.0
7,12,21,0,0,0,0,0,4,0,0,0,0,0.0,0,28.5,4,124.88985259999998,1104.935033,742.2291416,406.6208889,1322.492043,1074.45138,1650.958762,1104.935033,0.6,0.6,1.1,False,0.0
8,14,30,68,63,72,2,0,3,0,0,30,361,12.03333333,27,8375.768,3,124.88985259999998,190.4266132,323.3044797,-6.050387741000001,176.7262311,1074.45138,877.2049143999999,0.0,0.1,0.1,0.8,False,0.0
9,14,30,192,164,172,19,5,8,0,0,1,1,1.0,0,3454.755,3,124.88985259999998,2641.8210010000003,323.3044797,-227.09239680000005,176.7262311,-70.52760062,3138.29535,2641.8210010000003,0.6,0.6,0.8,False,0.0
10,5,9,0,0,1,10,5,7,7,4,1,1,1.0,0,0.0,2,124.88985259999998,3101.621018,323.3044797,932.4725868999999,599.4670046,-70.52760062,240.3578818,3101.621018,0.6,0.6,0.6,True,0.6
11,12,26,0,0,0,3,0,31,0,0,27,27,1.0,0,3574.942,2,124.88985259999998,-249.3268403,-257.29282850000004,-6.050387741000001,176.7262311,299.7999742,-204.32929860000002,0.0,0.1,0.1,0.6,False,0.0
12,1,2,0,0,0,0,0,9,0,0,0,0,0.0,0,0.0,1,124.88985259999998,190.4266132,323.3044797,-6.050387741000001,176.7262311,-546.1908036,517.2332925,0.0,0.1,0.1,0.4,False,0.0
13,14,30,35,71,90,151,15,2,0,0,3,4,1.333333333,0,3324.362,7,1788.1189350000002,380.6326524,-74.49924642,2080.846259,1322.492043,4207.388996,1650.958762,1788.1189350000002,0.4,0.4,2.0,False,0.0
14,12,25,16,13,14,1,0,16,0,0,3,3,1.0,0,0.0,0,124.88985259999998,-249.3268403,-257.29282850000004,-6.050387741000001,176.7262311,299.7999742,-204.32929860000002,0.0,0.1,0.1,0.1,True,0.1
15,14,30,92,67,72,4,1,9,0,0,29,37,1.275862069,2,13853.487,1,4834.166724000001,-588.1997137999999,323.3044797,-4891.7717170000005,599.4670046,299.7999742,517.2332925,4834.166724000001,0.4,0.4,0.4,True,0.4
16,13,25,5,15,14,77,67,4,0,0,3,3,1.0,0,11000.098,2,124.88985259999998,-356.6506163,-74.49924642,2080.846259,1322.492043,-70.52760062,-893.9239651,2080.846259,1.1,1.1,0.6,False,0.0
17,5,5,15,7,4,7,0,14,0,0,4,5,1.25,1,6164.1269999999995,3,124.88985259999998,-249.3268403,-257.29282850000004,-6.050387741000001,176.7262311,299.7999742,-204.32929860000002,0.0,0.1,0.1,0.8,False,0.0
18,14,30,28,41,40,12,4,4,2,0,6,11,1.8333333330000001,2,6183.93,3,124.88985259999998,127.54149240000001,323.3044797,-6.050387741000001,176.7262311,977.759175,517.2332925,0.0,0.1,0.1,0.8,False,0.0
19,1,3,0,0,0,5,3,4,0,0,0,0,0.0,0,0.0,4,124.88985259999998,436.82227439999997,323.3044797,-6.050387741000001,176.7262311,299.7999742,517.2332925,0.0,0.1,0.1,1.1,False,0.0
20,14,30,183,135,149,21,4,2,0,0,29,35,1.2068965520000001,3,3821.695,0,124.88985259999998,1104.935033,742.2291416,406.6208889,1322.492043,-546.1908036,1650.958762,1104.935033,0.6,0.6,0.1,False,0.0
21,14,30,43,47,47,0,0,3,0,0,20,24,1.2,1,8176.169,3,124.88985259999998,-249.3268403,-459.2245904,-6.050387741000001,176.7262311,-546.1908036,-204.32929860000002,0.0,0.1,0.1,0.8,False,0.0
22,12,27,92,64,56,222,85,12,12,0,17,28,1.6470588240000001,1,6742.214,4,524.4545172,1644.313426,323.3044797,-227.09239680000005,599.4670046,761.5297224999999,240.3578818,1644.313426,0.6,0.6,1.1,False,0.0
23,9,12,37,23,18,10,8,8,0,0,2,2,1.0,1,150.10299999999998,1,-874.6775238,-588.1997137999999,323.3044797,2464.314513,599.4670046,761.5297224999999,240.3578818,2464.314513,1.1,1.1,0.4,False,0.0
24,13,25,19,22,27,116,41,6,0,0,4,5,1.25,0,1871.1879999999999,5,124.88985259999998,-942.1926331000001,-257.29282850000004,-6.050387741000001,176.7262311,-546.1908036,-204.32929860000002,0.0,0.1,0.1,1.4,False,0.0
25,11,27,4,3,6,54,32,6,0,0,26,60,2.307692308,4,18.657,5,124.88985259999998,-249.3268403,-781.7652567000001,-227.09239680000005,176.7262311,-546.1908036,-204.32929860000002,0.0,0.1,0.1,1.4,False,0.0
26,2,2,0,0,0,13,0,15,0,0,0,0,0.0,0,0.0,7,1205.225628,380.6326524,3618.48549,6214.014061999999,7732.261087000001,761.5297224999999,1959.988243,7732.261087000001,1.4000000000000001,1.4,2.0,False,0.0
27,2,3,0,0,0,1,0,18,0,0,0,0,0.0,0,0.0,0,124.88985259999998,-356.6506163,323.3044797,-6.050387741000001,176.7262311,-1483.580191,-207.53226730000003,0.0,0.1,0.1,0.1,True,0.1
28,14,30,12,13,29,7,2,5,0,0,27,88,3.259259259,1,12251.541000000001,5,124.88985259999998,-249.3268403,330.0070945,-6.050387741000001,176.7262311,-546.1908036,-204.32929860000002,0.0,0.1,0.1,1.4,False,0.0
29,7,7,17,13,7,1,0,9,0,0,0,0,0.0,0,0.0,7,-1511.451187,838.9489081,1448.706815,-421.9358313999999,1759.319369,-70.52760062,-893.9239651,0.0,0.1,0.1,2.0,False,0.0
30,14,30,35,37,47,802,477,3,664,3,0,0,0.0,0,0.0,3,124.88985259999998,190.4266132,323.3044797,-6.050387741000001,176.7262311,-546.1908036,517.2332925,0.0,0.1,0.1,0.8,False,0.0
31,14,30,12,12,16,11,0,12,0,0,30,127,4.233333333,8,3657.9440000000004,1,124.88985259999998,170.0850332,323.3044797,932.4725868999999,599.4670046,299.7999742,-207.53226730000003,0.0,0.1,0.1,0.4,False,0.0
32,14,30,44,41,49,2,0,6,0,0,26,36,1.384615385,1,3307.241,4,1205.225628,380.6326524,4422.695293,6214.014061999999,7732.261087000001,3520.290046,1650.958762,7732.261087000001,1.4000000000000001,1.4,1.1,False,0.0
33,14,30,33,30,38,27,14,4,34,0,25,47,1.88,4,1184.6,4,124.88985259999998,623.4118897000001,323.3044797,932.4725868999999,-375.3436775,299.7999742,517.2332925,0.0,0.1,0.1,1.1,False,0.0
34,14,30,52,50,86,4,1,7,0,0,29,83,2.8620689660000003,3,14278.252,7,124.88985259999998,190.4266132,323.3044797,-6.050387741000001,176.7262311,1074.45138,877.2049143999999,0.0,0.1,0.1,2.0,False,0.0
35,14,30,203,221,254,223,177,7,81,94,26,47,1.807692308,6,8745.306,6,124.88985259999998,436.82227439999997,-74.49924642,406.6208889,1322.492043,2043.4129149999999,1650.958762,0.0,0.1,0.1,1.7,False,0.0
36,10,26,12,13,35,4,1,6,0,0,20,50,2.5,8,0.0,6,124.88985259999998,436.82227439999997,323.3044797,-1663.265944,176.7262311,1074.45138,877.2049143999999,0.0,0.1,0.1,1.7,False,0.0
37,14,30,33,33,46,4,1,7,0,0,30,416,13.86666667,1,5262.012,3,-874.6775238,-588.1997137999999,323.3044797,-4891.7717170000005,599.4670046,977.759175,-2438.9822670000003,0.0,0.1,0.1,0.8,False,0.0
38,3,11,1,1,10,0,0,4,0,0,9,15,1.6666666669999999,3,3903.528,6,124.88985259999998,717.5380186000001,-257.29282850000004,-6.050387741000001,176.7262311,299.7999742,-204.32929860000002,0.0,0.1,0.1,1.7,False,0.0
39,14,30,91,81,73,20,9,4,0,0,15,49,3.266666667,1,7287.41,6,-874.6775238,170.0850332,323.3044797,932.4725868999999,599.4670046,3520.290046,2365.330941,3520.290046,1.7000000000000002,1.7,1.7,True,1.7
