c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,ID,A1_value_gain,A2_value_gain,A3_value_gain,A4_value_gain,A5_value_gain,A6_value_gain,A7_value_gain
14,30,92,99,135,20,10,4,0,0,30,471,15.7,3,7147.866,7,0,1788.118935,729.3458261,-74.49924642,-421.9358314,-383.6288149,-70.52760062,-893.9239651
14,30,40,41,61,36,34,23,0,0,28,39,1.392857143,0,203.001,7,1,124.8898526,-295.3529355,323.3044797,932.4725869,599.4670046,299.7999742,-207.5322673
14,30,19,18,30,105,60,11,340,12,30,117,3.9,14,5037.923,6,2,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
14,30,12,13,14,2,0,7,0,0,30,74,2.466666667,0,1658.293,4,3,124.8898526,-249.3268403,330.0070945,-6.050387741,176.7262311,299.7999742,-204.3292986
5,9,0,1,1,48,33,10,9,10,1,2,2,0,4239.558,4,4,-874.6775238,170.0850332,1422.43522,932.4725869,599.4670046,-546.1908036,1439.555863
9,16,0,0,1,2,1,14,0,0,6,6,1,0,0,5,5,124.8898526,-356.6506163,-74.49924642,-421.9358314,-383.6288149,-70.52760062,604.8433211
14,30,25,20,19,874,739,8,23,0,30,92,3.066666667,1,1782.707,7,6,124.8898526,127.5414924,323.3044797,-6.050387741,176.7262311,977.759175,517.2332925
12,21,0,0,0,0,0,4,0,0,0,0,0,0,28.5,4,7,124.8898526,1104.935033,742.2291416,406.6208889,1322.492043,1074.45138,1650.958762
14,30,68,63,72,2,0,3,0,0,30,361,12.03333333,27,8375.768,3,8,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,1074.45138,877.2049144
14,30,192,164,172,19,5,8,0,0,1,1,1,0,3454.755,3,9,124.8898526,2641.821001,323.3044797,-227.0923968,176.7262311,-70.52760062,3138.29535
5,9,0,0,1,10,5,7,7,4,1,1,1,0,0,2,10,124.8898526,3101.621018,323.3044797,932.4725869,599.4670046,-70.52760062,240.3578818
12,26,0,0,0,3,0,31,0,0,27,27,1,0,3574.942,2,11,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
1,2,0,0,0,0,0,9,0,0,0,0,0,0,0,1,12,124.8898526,190.4266132,323.3044797,-6.050387741,176.7262311,-546.1908036,517.2332925
14,30,35,71,90,151,15,2,0,0,3,4,1.333333333,0,3324.362,7,13,1788.118935,380.6326524,-74.49924642,2080.846259,1322.492043,4207.388996,1650.958762
12,25,16,13,14,1,0,16,0,0,3,3,1,0,0,0,14,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
14,30,92,67,72,4,1,9,0,0,29,37,1.275862069,2,13853.487,1,15,4834.166724,-588.1997138,323.3044797,-4891.771717,599.4670046,299.7999742,517.2332925
13,25,5,15,14,77,67,4,0,0,3,3,1,0,11000.098,2,16,124.8898526,-356.6506163,-74.49924642,2080.846259,1322.492043,-70.52760062,-893.9239651
5,5,15,7,4,7,0,14,0,0,4,5,1.25,1,6164.127,3,17,124.8898526,-249.3268403,-257.2928285,-6.050387741,176.7262311,299.7999742,-204.3292986
14,30,28,41,40,12,4,4,2,0,6,11,1.833333333,2,6183.93,3,18,124.8898526,127.5414924,323.3044797,-6.050387741,176.7262311,977.759175,517.2332925
1,3,0,0,0,5,3,4,0,0,0,0,0,0,0,4,19,124.8898526,436.8222744,323.3044797,-6.050387741,176.7262311,299.7999742,517.2332925
14,30,183,135,149,21,4,2,0,0,29,35,1.206896552,3,3821.695,0,20,124.8898526,1104.935033,742.2291416,406.6208889,1322.492043,-546.1908036,1650.958762
14,30,43,47,47,0,0,3,0,0,20,24,1.2,1,8176.169,3,21,124.8898526,-249.3268403,-459.2245904,-6.050387741,176.7262311,-546.1908036,-204.3292986
12,27,92,64,56,222,85,12,12,0,17,28,1.647058824,1,6742.214,4,22,524.4545172,1644.313426,323.3044797,-227.0923968,599.4670046,761.5297225,240.3578818
9,12,37,23,18,10,8,8,0,0,2,2,1,1,150.103,1,23,-874.6775238,-588.1997138,323.3044797,2464.314513,599.4670046,761.5297225,240.3578818
13,25,19,22,27,116,41,6,0,0,4,5,1.25,0,1871.188,5,24,124.8898526,-942.1926331,-257.2928285,-6.050387741,176.7262311,-546.1908036,-204.3292986
11,27,4,3,6,54,32,6,0,0,26,60,2.307692308,4,18.657,5,25,124.8898526,-249.3268403,-781.7652567,-227.0923968,176.7262311,-546.1908036,-204.3292986
2,2,0,0,0,13,0,15,0,0,0,0,0,0,0,7,26,1205.225628,380.6326524,3618.48549,6214.014062,7732.261087,761.5297225,1959.988243
2,3,0,0,0,1,0,18,0,0,0,0,0,0,0,0,27,124.8898526,-356.6506163,323.3044797,-6.050387741,176.7262311,-1483.580191,-207.5322673
14,30,12,13,29,7,2,5,0,0,27,88,3.259259259,1,12251.541,5,28,124.8898526,-249.3268403,330.0070945,-6.050387741,176.7262311,-546.1908036,-204.3292986
