,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,pred1,pred2,pred3,pred4,pred5,pred6,pred7,t_1_roi,t_2_roi,t_3_roi,t_4_roi,t_5_roi,t_6_roi,t_7_roi,best_treatment_roi,best_treatment,delta_coin,coin,cum_expense,delta_cum_expense,base_expense,cum_base_expense,extra_expense,cut_off_point,final_coin,treatment,if_same,tmp_label
1529,11,23,19,18,21,8,4,5,0,0,1,1,1.0,0,7384.516,1,224.48109318333263,856.8294540333354,523.8171990966656,274.3160334999993,1991.2317792333354,575.0563087066657,465.56204387333764,748.2703106111088,1713.6589080666708,748.3102844238081,274.3160334999993,1531.7167532564117,359.4101929416661,245.03265467017772,1713.6589080666708,t_2_roi,0.5,0.6,0.6,0.5,0.1,0.1,99.99999999999997,True,0.6,0.4,False,0.0
163,10,26,11,24,45,9,3,5,0,0,6,8,1.333333333,3,7678.272,0,72.3879307799998,832.5891576800032,371.2797411833308,145.3466995200015,1799.9433543799994,301.86951483332814,628.2988543233361,241.29310259999937,1665.1783153600063,530.3996302619012,145.3466995200015,1384.571811061538,188.6684467708301,330.6836075385979,1665.1783153600063,t_2_roi,0.5,0.6,1.2,1.0,0.1,0.2,99.99999999999997,True,0.6,0.1,False,0.0
779,13,29,16,17,26,5,5,4,0,0,0,0,0.0,0,2818.79,1,207.91248817333508,828.3973603800023,478.0418079833335,153.86012015666805,2030.676001966672,525.2137459866672,425.84417950666915,693.0416272444503,1656.7947207600046,682.9168685476194,153.86012015666805,1562.058463051286,328.258591241667,224.12851552982588,1656.7947207600046,t_2_roi,0.5,0.6,1.7999999999999998,1.5,0.1,0.30000000000000004,99.99999999999997,True,0.6,0.4,False,0.0
1639,12,28,14,12,24,5,3,5,0,0,0,0,0.0,0,2634.343,6,235.31145548333416,825.6351332366686,484.7775558333333,254.923346850002,1986.8668876300014,586.9986386533337,409.9676524433335,784.3715182777805,1651.2702664733372,692.5393654761905,254.923346850002,1528.3591443307703,366.8741491583336,215.77244865438607,1651.2702664733372,t_2_roi,0.5,0.6,2.4,2.0,0.1,0.4,99.99999999999997,True,0.6,1.7,False,0.0
129,2,5,0,0,0,5,5,6,0,0,0,0,0.0,0,3.682,7,494.4119280800018,590.9737035333351,480.6246021300021,652.9457502766667,1506.8653737933319,533.4199957100018,8.9936481800014,1648.0397602666728,1181.9474070666702,686.6065744714316,652.9457502766667,1159.1272106102551,333.3874973187511,4.733499042106001,1648.0397602666728,t_1_roi,0.3,0.4,2.8,2.3,0.1,0.5,99.99999999999997,True,0.4,2.0,False,0.0
247,1,1,3,1,1,3,3,6,0,0,0,0,0.0,0,0.0,3,494.4119280800018,590.9737035333351,480.6246021300021,652.9457502766667,1506.8653737933319,533.4199957100018,8.9936481800014,1648.0397602666728,1181.9474070666702,686.6065744714316,652.9457502766667,1159.1272106102551,333.3874973187511,4.733499042106001,1648.0397602666728,t_1_roi,0.3,0.4,3.1999999999999997,2.5999999999999996,0.1,0.6,99.99999999999997,True,0.4,0.8,False,0.0
19,1,3,0,0,0,5,3,4,0,0,0,0,0.0,0,0.0,4,494.4119280800018,590.9737035333351,480.6246021300021,652.9457502766667,1506.8653737933319,533.4199957100018,8.9936481800014,1648.0397602666728,1181.9474070666702,686.6065744714316,652.9457502766667,1159.1272106102551,333.3874973187511,4.733499042106001,1648.0397602666728,t_1_roi,0.3,0.4,3.5999999999999996,2.8999999999999995,0.1,0.7,99.99999999999997,True,0.4,1.1,False,0.0
615,3,5,1,1,0,2,2,2,0,0,0,0,0.0,0,0.0,4,494.4119280800018,590.9737035333351,480.6246021300021,652.9457502766667,1506.8653737933319,533.4199957100018,8.9936481800014,1648.0397602666728,1181.9474070666702,686.6065744714316,652.9457502766667,1159.1272106102551,333.3874973187511,4.733499042106001,1648.0397602666728,t_1_roi,0.3,0.4,3.9999999999999996,3.1999999999999993,0.1,0.7999999999999999,99.99999999999997,True,0.4,1.1,False,0.0
1214,1,1,0,0,0,2,2,4,0,0,0,0,0.0,0,0.0,7,494.4119280800018,590.9737035333351,480.6246021300021,652.9457502766667,1506.8653737933319,533.4199957100018,8.9936481800014,1648.0397602666728,1181.9474070666702,686.6065744714316,652.9457502766667,1159.1272106102551,333.3874973187511,4.733499042106001,1648.0397602666728,t_1_roi,0.3,0.4,4.3999999999999995,3.499999999999999,0.1,0.8999999999999999,99.99999999999997,True,0.4,2.0,False,0.0
1965,11,27,50,36,50,0,0,5,0,0,1,1,1.0,1,12959.775,1,104.58354097333269,550.1519433933345,297.558233239999,-34.710143703331596,2140.8152101600053,345.1503079766626,341.6504149599987,348.6118032444423,1100.303886786669,425.0831903428558,-34.710143703331596,1646.7809308923117,215.71894248541412,179.81600787368356,1646.7809308923117,t_5_roi,1.3,1.4000000000000001,5.8,4.799999999999999,0.1,0.9999999999999999,99.99999999999997,True,1.4,0.4,False,0.0
1198,12,26,10,11,16,29,15,3,0,0,6,7,1.166666667,1,5339.25,0,74.16392714999711,817.6063545933339,428.50058022666605,236.6088608033342,1695.7922499233334,308.0580159866668,605.2934237000028,247.21309049999036,1635.2127091866678,612.1436860380944,236.6088608033342,1304.4555768641026,192.53625999166675,318.5754861578962,1635.2127091866678,t_2_roi,0.5,0.6,6.3999999999999995,5.299999999999999,0.1,1.0999999999999999,99.99999999999997,True,0.6,0.1,False,0.0
449,13,28,21,19,23,19,3,3,0,0,1,1,1.0,1,3170.513,7,139.74756637333485,815.4963341733346,506.2289751633343,222.1711304666669,1989.7325430333374,376.72560152000193,410.88700198333663,465.8252212444495,1630.9926683466692,723.1842502333348,222.1711304666669,1530.5634946410287,235.4535009500012,216.2563168333351,1630.9926683466692,t_2_roi,0.5,0.6,6.999999999999999,5.799999999999999,0.1,1.2,99.99999999999997,True,0.6,2.0,False,0.0
160,10,26,5,5,9,8,3,3,0,0,0,0,0.0,0,482.82,4,247.4517290966687,815.1814225266688,518.2945609500019,389.87489223666944,1899.5716803166697,619.2777242766679,418.53083598000154,824.8390969888958,1630.3628450533377,740.4208013571457,389.87489223666944,1461.2089848589767,387.0485776729174,220.27938735789556,1630.3628450533377,t_2_roi,0.5,0.6,7.599999999999999,6.299999999999999,0.1,1.3,99.99999999999997,True,0.6,1.1,False,0.0
1235,13,26,8,9,11,6,4,6,0,0,0,0,0.0,0,0.0,6,237.29266281666787,812.3291869400023,476.5121707500025,274.04964576000197,1989.1164480700024,611.1161708466684,427.5444184133362,790.9755427222262,1624.6583738800045,680.7316725000036,274.04964576000197,1530.0895754384633,381.94760677916776,225.02337811228222,1624.6583738800045,t_2_roi,0.5,0.6,8.2,6.799999999999999,0.1,1.4000000000000001,99.99999999999997,True,0.6,1.7,False,0.0
