,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,label,exp_group,pred1,pred2,pred3,pred4,pred5,pred6,pred7,t_1_roi,t_2_roi,t_3_roi,t_4_roi,t_5_roi,t_6_roi,t_7_roi,best_treatment_roi,best_treatment,delta_coin,coin,cum_expense,delta_cum_expense,base_expense,cum_base_expense,extra_expense,cut_off_point,final_coin,treatment,if_same,tmp_label
1585,9,10,15,16,10,3,0,5,0,0,1,1,1.0,0,0.0,4,924.0991704166679,812.7887731733343,798.7861737800023,843.0617315799986,1912.2035014666683,1067.0422074333342,754.6241818366666,3080.33056805556,1625.5775463466687,1141.1231054000034,843.0617315799986,1470.9257703589756,666.9013796458338,397.1706220192982,3080.33056805556,t_1_roi,0.3,0.4,0.4,0.3,0.1,0.1,99.99999999999997,True,0.4,1.1,False,0.0
1603,11,17,14,9,10,2,1,5,0,0,1,1,1.0,0,2163.5370000000003,3,920.1052712200017,956.39387141,859.4539587033361,914.844512466665,2024.1437154299977,1095.9757125866658,839.6240154333328,3067.017570733339,1912.78774282,1227.7913695761945,914.844512466665,1557.0336272538443,684.9848203666661,441.9073765438594,3067.017570733339,t_1_roi,0.3,0.4,0.8,0.6,0.1,0.2,99.99999999999997,True,0.4,0.8,False,0.0
1844,6,11,15,7,7,2,1,5,0,0,1,1,1.0,0,0.0,3,903.090733176668,771.7933747233342,763.340130166669,871.3329848666658,1828.1936954800005,1033.4070881366665,691.3561740066663,3010.3024439222268,1543.5867494466684,1090.4859002380988,871.3329848666658,1406.3028426769235,645.8794300854165,363.87167052982437,3010.3024439222268,t_1_roi,0.3,0.4,1.2000000000000002,0.8999999999999999,0.1,0.30000000000000004,99.99999999999997,True,0.4,0.8,False,0.0
163,10,26,11,24,45,9,3,5,0,0,6,8,1.333333333,3,7678.272,0,519.0390630666684,1492.5209366466684,866.5268030466692,1254.7671080900031,1986.2154866733367,923.5853161100044,1112.3276088466678,1730.130210222228,2985.0418732933367,1237.8954329238131,1254.7671080900031,1527.8580666717974,577.2408225687527,585.4355836035094,2985.0418732933367,t_2_roi,0.5,0.6,1.8000000000000003,1.4,0.1,0.4,99.99999999999997,True,0.6,0.1,False,0.0
818,11,21,21,21,19,28,17,3,0,0,5,5,1.0,0,13856.768,0,628.2361775766667,1476.2771483299985,1073.414129970001,1381.7776043100039,2105.702117333334,1092.779394473333,1337.770561569998,2094.1205919222225,2952.554296659997,1533.4487571000018,1381.7776043100039,1619.7708594871801,682.9871215458331,704.0897692473675,2952.554296659997,t_2_roi,0.5,0.6,2.4000000000000004,1.9,0.1,0.5,99.99999999999997,True,0.6,0.1,False,0.0
819,6,11,19,10,8,5,5,5,0,0,4,4,1.0,0,0.0,1,879.0036224099986,1179.956825476665,1025.2638699033323,1264.9134981499976,1915.1954595599989,1110.0132612766656,989.5328486699973,2930.0120746999955,2359.91365095333,1464.662671290475,1264.9134981499976,1473.2272765846144,693.758288297916,520.8067624578933,2930.0120746999955,t_1_roi,0.3,0.4,2.8000000000000003,2.1999999999999997,0.1,0.6,99.99999999999997,True,0.4,0.4,True,0.4
1198,12,26,10,11,16,29,15,3,0,0,6,7,1.166666667,1,5339.25,0,544.8146465633345,1455.8980186966676,936.0334773633341,1344.039753923338,1961.1671444966696,1012.6363813566696,1160.3422175866644,1816.0488218777816,2911.796037393335,1337.1906819476203,1344.039753923338,1508.5901111512842,632.8977383479184,610.7064303087708,2911.796037393335,t_2_roi,0.5,0.6,3.4000000000000004,2.6999999999999997,0.1,0.7,99.99999999999997,True,0.6,0.1,False,0.0
1783,9,18,22,13,15,3,0,3,0,0,1,1,1.0,0,0.0,6,866.0607691866676,767.7210331100005,725.9676184366695,800.8698829866652,1848.0171023700007,1030.7986021499996,724.4120564333325,2886.8692306222256,1535.442066220001,1037.0965977666708,800.8698829866652,1421.5516172076927,644.2491263437497,381.26950338596447,2886.8692306222256,t_1_roi,0.3,0.4,3.8000000000000003,2.9999999999999996,0.1,0.7999999999999999,99.99999999999997,True,0.4,1.7,False,0.0
1289,3,12,7,3,13,5,1,4,0,0,1,1,1.0,0,2444.715,6,861.8977900633326,671.5489844299996,668.6987993866696,796.4369492799983,1690.6567286399982,1012.1721651699993,563.3736375366652,2872.9926335444425,1343.0979688599991,955.2839991238138,796.4369492799983,1300.5051758769216,632.6076032312495,296.5124408087712,2872.9926335444425,t_1_roi,0.3,0.4,4.2,3.2999999999999994,0.1,0.8999999999999999,99.99999999999997,True,0.4,1.7,False,0.0
1670,11,22,23,13,13,0,0,5,0,0,0,0,0.0,0,23.651,3,859.7999806933334,934.8059429099994,810.6928001566689,866.5036864166646,2013.4307439033305,1066.5738607133308,802.5787842666655,2865.9999356444446,1869.6118858199989,1158.1325716523843,866.5036864166646,1548.7928799256388,666.6086629458317,422.40988645613976,2865.9999356444446,t_1_roi,0.3,0.4,4.6000000000000005,3.599999999999999,0.1,0.9999999999999999,99.99999999999997,True,0.4,0.8,False,0.0
1287,7,7,26,13,8,0,0,3,0,0,0,0,0.0,0,1920.0279999999998,6,857.6497654500017,722.7420283266687,727.4981404900036,813.749817583333,1820.1259080500013,995.4095767166672,667.3755069866667,2858.832551500006,1445.4840566533373,1039.2830578428623,813.749817583333,1400.0968523461547,622.1309854479169,351.25026683508776,2858.832551500006,t_1_roi,0.3,0.4,5.000000000000001,3.899999999999999,0.1,1.0999999999999999,99.99999999999997,True,0.4,1.7,False,0.0
1773,8,20,10,10,13,2,2,6,0,0,4,4,1.0,0,1902.6689999999999,7,856.7238727466638,1097.9769036066646,909.3912032033328,1173.0265010366645,1776.1608509966657,1132.0999818633313,865.1632462166631,2855.7462424888795,2195.953807213329,1299.1302902904756,1173.0265010366645,1366.2775776897427,707.562488664582,455.3490769561385,2855.7462424888795,t_1_roi,0.3,0.4,5.400000000000001,4.199999999999999,0.1,1.2,99.99999999999997,True,0.4,2.0,False,0.0
263,11,23,4,3,6,15,11,6,0,0,9,9,1.0,4,718.824,1,510.5801161600008,1427.062090033331,889.6786304766694,1300.8862156433365,1828.7286707466696,1009.531776373336,1150.5378546199995,1701.933720533336,2854.124180066662,1270.9694721095277,1300.8862156433365,1406.7143621128228,630.957360233335,605.546239273684,2854.124180066662,t_2_roi,0.5,0.6,6.000000000000001,4.699999999999999,0.1,1.3,99.99999999999997,True,0.6,0.4,False,0.0
24,13,25,19,22,27,116,41,6,0,0,4,5,1.25,0,1871.1879999999999,5,266.75692569666944,1416.9765397133356,930.5513566966687,1211.2346830433376,1973.6808996166724,790.3713239933362,1153.7022121233344,889.1897523222315,2833.953079426671,1329.3590809952411,1211.2346830433376,1518.2160766282095,493.9820774958351,607.2116905912287,2833.953079426671,t_2_roi,0.5,0.6,6.6000000000000005,5.199999999999999,0.1,1.4000000000000001,99.99999999999997,True,0.6,1.4,False,0.0
1283,10,21,5,5,9,2,0,0,0,0,1,1,1.0,0,1601.037,4,846.9909488733338,849.1125957633327,713.2066468500034,839.6793546899994,1839.1958356599978,1082.296184593332,658.9747904233318,2823.303162911113,1698.2251915266654,1018.8666383571477,839.6793546899994,1414.7660274307675,676.4351153708325,346.8288370649115,2823.303162911113,t_1_roi,0.3,0.4,7.000000000000001,5.499999999999999,0.1,1.5000000000000002,99.99999999999997,True,0.4,1.1,False,0.0
1153,11,22,15,9,7,9,3,4,0,0,5,5,1.0,0,0.0,2,657.1451596000006,1405.5671725999982,1056.4086255166676,1356.185537156669,1980.4516495500022,1058.8604867500007,1133.2863149266668,2190.4838653333354,2811.1343451999965,1509.1551793095252,1356.185537156669,1523.424345807694,661.7878042187505,596.466481540351,2811.1343451999965,t_2_roi,0.5,0.6,7.6000000000000005,5.999999999999999,0.1,1.6000000000000003,99.99999999999997,True,0.6,0.6,True,0.6
1962,7,9,7,4,2,2,1,2,0,0,2,2,1.0,0,0.0,7,843.2678505666651,654.9121199333326,633.3625101900011,782.5677199199977,1655.6711425133308,995.345632529998,551.3262810933315,2810.892835222217,1309.8242398666653,904.8035859857159,782.5677199199977,1273.593186548716,622.0910203312487,290.17172689122714,2810.892835222217,t_1_roi,0.3,0.4,8.0,6.299999999999999,0.1,1.7000000000000004,99.99999999999997,True,0.4,2.0,False,0.0
632,7,16,6,6,8,2,0,4,0,0,0,0,0.0,0,9178.689,4,842.3465881166658,659.9113697899992,641.8111908733357,768.2768805599985,1670.9971369766656,1014.0791039233328,565.9055198666651,2807.821960388886,1319.8227395799984,916.8731298190511,768.2768805599985,1285.3824130589735,633.7994399520829,297.84501045613956,2807.821960388886,t_1_roi,0.3,0.4,8.4,6.599999999999999,0.1,1.8000000000000005,99.99999999999997,True,0.4,1.1,False,0.0
1268,10,17,11,12,7,5,4,8,1,3,1,1,1.0,0,904.706,5,841.3593344033337,1101.445516343335,941.4976435233341,1172.9527203466655,1900.5205046466665,1053.4043969999993,728.1888435100003,2804.531114677779,2202.89103268667,1344.996633604763,1172.9527203466655,1461.938849728205,658.3777481249996,383.25728605789493,2804.531114677779,t_1_roi,0.3,0.4,8.8,6.899999999999999,0.1,1.9000000000000006,99.99999999999997,True,0.4,1.4,False,0.0
1802,5,13,14,7,6,1,0,4,0,0,1,1,1.0,0,0.0,4,837.9382183100006,701.0955908833344,703.0966684000023,806.9304894633324,1767.7041230000007,968.1792223699989,611.6283466699992,2793.127394366669,1402.1911817666687,1004.4238120000033,806.9304894633324,1359.7724023076928,605.1120139812493,321.9096561421049,2793.127394366669,t_1_roi,0.3,0.4,9.200000000000001,7.199999999999998,0.1,2.0000000000000004,99.99999999999997,True,0.4,1.1,False,0.0
324,6,9,5,11,14,2,0,6,0,0,1,1,1.0,0,0.0,5,837.2498882099994,661.7979606899999,637.9980185800036,758.7854756933316,1692.1388417599994,1012.4739366499997,565.194974116665,2790.8329606999982,1323.5959213799997,911.4257408285767,758.7854756933316,1301.6452628923073,632.7962104062498,297.4710390087711,2790.8329606999982,t_1_roi,0.3,0.4,9.600000000000001,7.499999999999998,0.1,2.1000000000000005,99.99999999999997,True,0.4,1.4,False,0.0
1081,11,18,11,14,13,0,0,7,0,0,5,5,1.0,4,0.0,6,836.9420058199997,968.9101080199972,645.1882370833338,975.0309971233304,1983.3196555966647,1083.6957717699984,950.8548533899975,2789.806686066666,1937.8202160399944,921.6974815476198,975.0309971233304,1525.6305043051266,677.3098573562489,500.4499228368408,2789.806686066666,t_1_roi,0.3,0.4,10.000000000000002,7.799999999999998,0.1,2.2000000000000006,99.99999999999997,True,0.4,1.7,False,0.0
1654,11,16,6,5,5,2,2,4,0,0,0,0,0.0,0,0.0,5,836.3753804866666,1164.0292245233334,998.093379703334,1149.9914674866654,1891.8527872099967,1089.4145179633322,755.7064062599969,2787.917934955555,2328.0584490466667,1425.8476852904773,1149.9914674866654,1455.2713747769205,680.8840737270825,397.74021382105104,2787.917934955555,t_1_roi,0.3,0.4,10.400000000000002,8.099999999999998,0.1,2.3000000000000007,99.99999999999997,True,0.4,1.4,False,0.0
996,9,15,26,20,25,1,1,4,0,0,0,0,0.0,0,0.0,5,836.2333389633345,783.7288897133329,726.2986923833356,717.1620461199986,1880.9710375999991,1008.9016441399997,725.882393216667,2787.4444632111154,1567.4577794266659,1037.5695605476224,717.1620461199986,1446.9007981538455,630.5635275874997,382.04336485087737,2787.4444632111154,t_1_roi,0.3,0.4,10.800000000000002,8.399999999999999,0.1,2.400000000000001,99.99999999999997,True,0.4,1.4,False,0.0
1072,12,23,24,26,33,18,14,5,0,0,4,4,1.0,0,6674.87,7,492.5633382000019,1381.3961917933343,964.0864447166693,1191.0094071533365,2010.3375228066693,903.8616323066676,1242.0465586166642,1641.8777940000064,2762.7923835866686,1377.266349595242,1191.0094071533365,1546.4134790820533,564.9135201916672,653.7087150614022,2762.7923835866686,t_2_roi,0.5,0.6,11.400000000000002,8.899999999999999,0.1,2.500000000000001,99.99999999999997,True,0.6,2.0,False,0.0
1513,5,9,0,0,0,3,1,3,0,0,2,2,1.0,1,0.0,5,828.6359870299989,699.1181625533318,593.3295182300012,780.6704441566649,1703.5541931533312,953.9642399266644,540.804879459999,2762.119956766663,1398.2363251066636,847.6135974714304,780.6704441566649,1310.4263024256393,596.2276499541653,284.63414708421004,2762.119956766663,t_1_roi,0.3,0.4,11.800000000000002,9.2,0.1,2.600000000000001,99.99999999999997,True,0.4,1.4,False,0.0
1048,7,22,3,1,14,3,2,5,0,0,0,0,0.0,0,0.0,6,827.8561626699992,993.4498680599997,887.2206924166685,1093.2247506933322,1726.8223170799988,1052.3390889466657,620.8763501666649,2759.5205422333306,1986.8997361199995,1267.4581320238121,1093.2247506933322,1328.3248592923067,657.711930591666,326.7770264035079,2759.5205422333306,t_1_roi,0.3,0.4,12.200000000000003,9.5,0.1,2.700000000000001,99.99999999999997,True,0.4,1.7,False,0.0
599,12,24,5,4,12,28,10,6,0,0,11,14,1.2727272729999999,1,3331.208,3,318.8058542466679,1367.6260104266655,767.1177220433356,1251.4156179666734,1672.9714204166712,912.4802704533367,1166.5562037966665,1062.6861808222263,2735.252020853331,1095.882460061908,1251.4156179666734,1286.9010926282085,570.3001690333355,613.9769493666666,2735.252020853331,t_2_roi,0.5,0.6,12.800000000000002,10.0,0.1,2.800000000000001,99.99999999999997,True,0.6,0.8,False,0.0
1256,10,22,10,8,6,0,0,3,3,0,1,1,1.0,0,0.0,6,818.5401975233334,817.138996823332,686.0573383500033,790.5578913466661,1835.6505904499966,1035.406708936665,621.9300453199985,2728.4673250777782,1634.277993646664,980.0819119285762,790.5578913466661,1412.0389157307666,647.1291930854155,327.33160279999925,2728.4673250777782,t_1_roi,0.3,0.4,13.200000000000003,10.3,0.1,2.9000000000000012,99.99999999999997,True,0.4,1.7,False,0.0
596,4,7,0,1,0,2,1,5,0,0,1,1,1.0,0,0.0,5,818.4447917433313,645.3377421333333,623.2985126833341,775.7703942699983,1629.6016113799988,976.9758593533306,508.8517338299971,2728.1493058111046,1290.6754842666667,890.4264466904774,775.7703942699983,1253.5397010615375,610.6099120958316,267.81670201578794,2728.1493058111046,t_1_roi,0.3,0.4,13.600000000000003,10.600000000000001,0.1,3.0000000000000013,99.99999999999997,True,0.4,1.4,False,0.0
953,1,1,0,0,0,2,1,6,0,0,0,0,0.0,0,0.0,4,818.4447917433313,645.3377421333333,623.2985126833341,775.7703942699983,1629.6016113799988,976.9758593533306,508.8517338299971,2728.1493058111046,1290.6754842666667,890.4264466904774,775.7703942699983,1253.5397010615375,610.6099120958316,267.81670201578794,2728.1493058111046,t_1_roi,0.3,0.4,14.000000000000004,10.900000000000002,0.1,3.1000000000000014,99.99999999999997,True,0.4,1.1,False,0.0
460,9,20,14,23,32,4,2,7,0,0,0,0,0.0,0,9416.493,4,816.3157355733351,1051.1866627433355,899.2875002600008,1039.4194209266666,1880.88913696,1028.2487198099993,753.2060828200024,2721.0524519111173,2102.373325486671,1284.6964289428583,1039.4194209266666,1446.8377976615384,642.6554498812495,396.42425411579075,2721.0524519111173,t_1_roi,0.3,0.4,14.400000000000004,11.200000000000003,0.1,3.2000000000000015,99.99999999999997,True,0.4,1.1,False,0.0
1578,3,5,11,5,3,1,0,5,0,0,2,2,1.0,0,0.0,3,814.0617968266661,653.4994121,630.0383059966694,773.2730050399991,1676.9292982433326,957.2153499233324,552.6529926966659,2713.5393227555537,1306.9988242,900.0547228523849,773.2730050399991,1289.9456140333327,598.2595937020827,290.86999615613996,2713.5393227555537,t_1_roi,0.3,0.4,14.800000000000004,11.500000000000004,0.1,3.3000000000000016,99.99999999999997,True,0.4,0.8,False,0.0
247,1,1,3,1,1,3,3,6,0,0,0,0,0.0,0,0.0,3,813.6943855766644,958.1225406599997,885.5370841500007,1092.9706999366645,1693.0081863099979,1013.8777623699988,589.5918423466643,2712.314618588882,1916.2450813199994,1265.052977357144,1092.9706999366645,1302.313989469229,633.6736014812492,310.3114959719286,2712.314618588882,t_1_roi,0.3,0.4,15.200000000000005,11.800000000000004,0.1,3.4000000000000017,99.99999999999997,True,0.4,0.8,False,0.0
1004,11,22,8,8,8,3,1,8,5,0,0,0,0.0,0,0.0,4,813.4375233533348,784.3258572666678,663.8322504566695,812.9478959866666,1812.0446810999988,1055.9712362366663,635.3659735233338,2711.4584111777826,1568.6517145333355,948.3317863666708,812.9478959866666,1393.880523923076,659.9820226479164,334.40314395964936,2711.4584111777826,t_1_roi,0.3,0.4,15.600000000000005,12.100000000000005,0.1,3.5000000000000018,99.99999999999997,True,0.4,1.1,False,0.0
1262,9,22,22,18,26,2,0,5,0,0,4,4,1.0,0,0.0,4,813.3454109733342,902.8549475966652,694.2216287766669,811.9839441333323,1903.2750484699984,1055.4596475299988,945.482704126664,2711.151369911114,1805.7098951933303,991.745183966667,811.9839441333323,1464.0577295923065,659.6622797062493,497.622475856139,2711.151369911114,t_1_roi,0.3,0.4,16.000000000000004,12.400000000000006,0.1,3.600000000000002,99.99999999999997,True,0.4,1.1,False,0.0
1017,2,6,15,10,23,1,1,6,0,0,2,2,1.0,0,6096.5,1,812.746976786666,742.2351863666659,659.4170188433345,740.7553422399974,1800.74265595,963.621383856666,677.432985599999,2709.1565892888866,1484.4703727333317,942.0243126333351,740.7553422399974,1385.1866584230768,602.2633649104162,356.5436766315785,2709.1565892888866,t_1_roi,0.3,0.4,16.400000000000002,12.700000000000006,0.1,3.700000000000002,99.99999999999997,True,0.4,0.4,True,0.4
1282,12,23,20,15,28,2,2,3,0,0,3,3,1.0,0,4940.392,5,770.4401347433354,1351.9689157033313,1051.4693563999997,1103.5209712066694,2094.432153733333,1078.969155933332,1019.3043259899983,2568.1337824777847,2703.9378314066626,1502.0990805714282,1103.5209712066694,1611.1016567179483,674.3557224583325,536.4759610473676,2703.9378314066626,t_2_roi,0.5,0.6,17.000000000000004,13.200000000000006,0.1,3.800000000000002,99.99999999999997,True,0.6,1.4,False,0.0
552,12,26,28,35,35,15,8,2,79,0,0,0,0.0,0,0.0,7,531.1071427166694,1350.160834506668,1007.8765440366707,1149.873474570003,2035.4473754233359,891.5810065200012,1020.0399895700003,1770.357142388898,2700.321669013336,1439.823634338101,1149.873474570003,1565.728750325643,557.2381290750008,536.8631524052633,2700.321669013336,t_2_roi,0.5,0.6,17.600000000000005,13.700000000000006,0.1,3.900000000000002,99.99999999999997,True,0.6,2.0,False,0.0
1526,12,18,18,16,13,0,0,9,0,0,4,4,1.0,3,840.015,0,809.7966527300036,987.4050589433336,667.4388020066693,973.055081626665,2000.9191449733332,1053.1519043100006,978.5482263999983,2699.322175766679,1974.8101178866673,953.4840028666705,973.055081626665,1539.1685730564102,658.2199401937504,515.0253823157885,2699.322175766679,t_1_roi,0.3,0.4,18.000000000000004,14.000000000000007,0.1,4.000000000000002,99.99999999999997,True,0.4,0.1,False,0.0
439,2,6,0,0,1,2,1,4,0,0,2,2,1.0,0,151.179,0,809.3937091699981,632.9566620666665,598.2253026300008,769.1178950999983,1614.3094268899986,970.8444597899976,516.157241943331,2697.9790305666606,1265.913324133333,854.6075751857154,769.1178950999983,1241.7764822230758,606.7777873687485,271.6617062859637,2697.9790305666606,t_1_roi,0.3,0.4,18.400000000000002,14.300000000000008,0.1,4.100000000000001,99.99999999999997,True,0.4,0.1,False,0.0
1214,1,1,0,0,0,2,2,4,0,0,0,0,0.0,0,0.0,7,807.1795306266645,956.0788274133329,879.1938972700009,1089.7116599166645,1683.8627909099982,999.6486990199987,583.6186227566641,2690.598435422215,1912.1576548266657,1255.991281814287,1089.7116599166645,1295.2790699307677,624.7804368874991,307.167696187718,2690.598435422215,t_1_roi,0.3,0.4,18.8,14.600000000000009,0.1,4.200000000000001,99.99999999999997,True,0.4,2.0,False,0.0
615,3,5,1,1,0,2,2,2,0,0,0,0,0.0,0,0.0,4,807.1795306266645,956.0788274133329,879.1938972700009,1089.7116599166645,1683.8627909099982,999.6486990199987,583.6186227566641,2690.598435422215,1912.1576548266657,1255.991281814287,1089.7116599166645,1295.2790699307677,624.7804368874991,307.167696187718,2690.598435422215,t_1_roi,0.3,0.4,19.2,14.90000000000001,0.1,4.300000000000001,99.99999999999997,True,0.4,1.1,False,0.0
286,10,21,5,4,4,1,0,3,0,0,0,0,0.0,0,4976.179,2,803.0268052666675,802.2801436933332,661.8246703433371,797.3310213133333,1789.5845774099969,1033.3471634199989,599.9035336733322,2676.756017555558,1604.5602873866665,945.4638147761958,797.3310213133333,1376.603521084613,645.8419771374993,315.7387019333327,2676.756017555558,t_1_roi,0.3,0.4,19.599999999999998,15.20000000000001,0.1,4.4,99.99999999999997,True,0.4,0.6,False,0.0
1396,3,9,0,1,1,5,1,6,0,0,2,2,1.0,0,0.0,6,802.7905025466652,634.03608334,603.4850476733351,770.2142728099983,1616.1812746066653,962.6230668333313,511.0875924533311,2675.968341822217,1268.07216668,862.121496676193,770.2142728099983,1243.2163650820503,601.6394167708321,268.99346971227953,2675.968341822217,t_1_roi,0.3,0.4,19.999999999999996,15.50000000000001,0.1,4.5,99.99999999999997,True,0.4,1.7,False,0.0
807,4,4,0,0,0,2,0,4,0,0,0,0,0.0,0,0.0,5,801.1391764066643,628.697559863333,604.4227598400007,760.4968910666644,1622.4978457599989,957.0162423999968,497.7365058233295,2670.463921355548,1257.395119726666,863.4610854857153,760.4968910666644,1248.0752659692298,598.135151499998,261.9665820122787,2670.463921355548,t_1_roi,0.3,0.4,20.399999999999995,15.800000000000011,0.1,4.6,99.99999999999997,True,0.4,1.4,False,0.0
